OBJECTID,plot,gradient,park,elev,slope,PDIR,heat_loa,aspect,tree,subshrub,shrub,forb,gram,bryo,lichen,soil,duff,rock,water,richness,height,lat,long,Temp_Mean_1990_2009,logs_1990_1999,mu_ALT,mu_permafrost,Precip_Mean_1990_1999,RSDS_mean_1995,VPD_mean_1995,slope1km,elev1km
1,1L,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.411809384822845,0.455987095832825,338.000000000000000,0.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,39.000000000000000,5.505000114000000,65.369902249999996,-163.506801800000010,-5.0000000,141.0000000,90.9199982,29.0000000,530.0000000,0.4871654,6.9021153,1.6290199,422.6882324
2,1M,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.510187447071075,0.507067084312439,188.000000000000000,0.000000000000000,17.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,22.000000000000000,7.978549004000000,65.430101750000006,-163.424050300000000,-5.0000000,142.0000000,70.1999969,88.0000000,456.0000000,0.4764005,7.1192880,0.7940804,362.0024109
3,1P,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.469450056552887,0.485841661691666,330.000000000000000,0.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,7.477499962000000,65.354361530000006,-163.853337900000010,-4.5999999,147.0000000,70.1999969,88.0000000,417.0000000,0.4860092,7.4814477,1.8688805,157.6804657
4,1S,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.298695951700211,0.355251878499985,358.000000000000000,0.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,32.000000000000000,4.670172691000000,65.334427360000007,-163.673023699999990,-4.9000001,141.0000000,90.9199982,29.0000000,544.0000000,0.4924008,6.9021153,2.9150362,479.6725464
5,1S-b,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.315665632486343,0.286837995052338,34.000000000000000,0.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,45.000000000000000,6.333138466000000,65.307615999999996,-163.714190199999990,-5.5000000,131.0000000,90.9199982,29.0000000,672.0000000,0.4958057,6.9021153,2.0363319,626.6000366
6,2L,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.447116583585739,0.510927081108093,300.000000000000000,0.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,36.000000000000000,4.553862572000000,65.364714860000007,-163.339153000000010,-5.0999999,141.0000000,90.9199982,29.0000000,522.0000000,0.4860339,6.9453897,1.7338099,439.2541504
7,2M,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.503934741020203,0.510245501995087,230.000000000000000,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,8.569999695000000,65.443550349999995,-162.923705700000000,-4.9000001,143.0000000,70.1999969,88.0000000,474.0000000,0.4731386,7.4359746,1.1266397,337.0592041
8,2P,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.474594205617905,0.458213478326797,62.000000000000000,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24.000000000000000,6.378541946000000,65.369730590000003,-163.102319300000000,-5.0999999,141.0000000,90.9199982,29.0000000,542.0000000,0.4885876,6.9453897,1.9405664,501.8163757
9,2S,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.583285450935364,0.579395711421967,200.000000000000000,0.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,35.000000000000000,7.695360661000000,65.279474260000001,-162.874744600000010,-5.1999998,135.0000000,90.9199982,29.0000000,632.0000000,0.5073267,7.1127257,1.3359063,585.4370117
10,2S-b,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.502145826816559,0.493084013462067,136.000000000000000,0.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,44.000000000000000,6.089671135000000,65.448753830000001,-163.097657700000010,-5.0999999,141.0000000,99.0000000,5.0000000,471.0000000,0.4747370,6.9459362,0.9162369,379.6226501
11,3L,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.494444936513901,0.496168106794357,12.000000000000000,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,17.000000000000000,8.354999542000000,65.484255550000000,-163.643857300000010,-4.6999998,145.0000000,70.1999969,88.0000000,388.0000000,0.4642877,7.1192880,0.5146693,207.1241913
12,3M,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.479257434606552,0.492307662963867,312.000000000000000,0.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,9.430000305000000,65.530115960000003,-163.964300799999990,-4.4000001,148.0000000,70.1999969,88.0000000,375.0000000,0.4520950,7.3155732,0.4207408,114.9997330
13,3P,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.494022130966187,0.510671615600586,262.000000000000000,0.000000000000000,48.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,7.920000076000000,65.536773199999999,-164.080622900000010,-4.4000001,148.0000000,70.1999969,88.0000000,371.0000000,0.4495042,7.3155732,0.5578778,95.2414627
14,3S-b,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.494059354066849,0.497793465852737,0.000000000000000,0.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,42.000000000000000,8.391554832000001,65.487543939999995,-163.687405700000000,-4.6999998,146.0000000,70.1999969,88.0000000,387.0000000,0.4612910,7.1192880,0.4575728,191.2496643
15,3S-c,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.499715209007263,0.497357279062271,178.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,31.000000000000000,7.283291817000000,65.562935469999999,-163.856529700000010,-4.5999999,147.0000000,99.0000000,5.0000000,378.0000000,0.4483942,7.2558203,0.7247331,133.1271667
16,4L,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.500478982925415,0.498321831226349,180.000000000000000,0.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,45.000000000000000,5.754018307000000,65.509784819999993,-163.155502200000000,-5.0999999,141.0000000,70.1999969,88.0000000,422.0000000,0.4613475,6.9459362,0.4421937,361.8123779
17,4M,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.492510229349136,0.494410216808319,60.000000000000000,0.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24.000000000000000,10.074999810000000,65.573739410000002,-163.312513300000010,-4.9000001,143.0000000,70.1999969,88.0000000,408.0000000,0.4489592,6.9728827,0.9014297,341.6869507
